Rynek pierwotny;;;;;;;;;;;;;;;;;;;;;;;Rynek pierwotny;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primary market;;;;;;;;;;;;;;;;;;;;;;;Primary market;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLN/1 sq.m;;;;;;;;;;;;;;;;;;;;;;;PLN/1 sq.m;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ceny ofertowe;;;;;;;;;;;;;;;;;średnia;;;;;Ceny transakcyjne;;;;;;;;;;;;;;;;;;średnia ;;;;;;;;;
;Offer prices;;;;;;;;;;;;;;;;;mean;;;;;Transaction prices;;;;;;;;;;;;;;;;;;mean;;;;;;;;;
;;;;;;;;;;;;;;;;;;7 cities;10 cities;6 cities (without Warszawa);;;;;;;;;;;;;;;;;;;;;7 cities;10 cities;6 cities (without Warszawa);;;;;;;
Kwartał;Białystok;Bydgoszcz;Gdańsk;Gdynia;Katowice;Kielce;Kraków;Lublin;Łódź;Olsztyn;Opole;Poznań;Rzeszów;Szczecin;Warszawa;Wrocław;Zielona Góra;7 miast;10 miast;6 miast bez Warszawy;9 miast;;Kwartał;Białystok;Bydgoszcz;Gdańsk;Gdynia*;Katowice;Kielce;Kraków;Lublin;Łódź;Olsztyn;Opole;Poznań;Rzeszów;Szczecin;Warszawa;Wrocław;Zielona Góra;7 miast;10 miast;6 miast bez Warszawy;9 miast;;;;;;
IV 2011;4 825;4 880;5 910;6 441;5 413;4 876;7 039;5 031;5 038;4 773;4 837;6 204;4 271;5 000;7 826;6 370;3 764;6 948;4 896;6 460;4 846;;IV 2011;4 601;4 626;5 506;6 313;4 604;4 768;6 711;4 644;4 793;4 703;4 676;6 219;4 239;4 847;7 226;5 720;3 747;6 487;4 590;6 072;4 559;;;;;;
I 2012;4 776;4 846;6 248;6 879;4 741;4 982;7 112;5 080;5 176;4 775;4 835;6 183;4 457;4 951;7 879;6 406;3 756;6 978;4 806;6 527;4 773;;I 2012;4 577;4 520;5 594;6 106;4 679;4 663;6 637;4 935;4 610;4 663;4 645;5 932;4 138;4 735;6 967;5 606;3 750;6 208;4 601;5 805;4 577;;;;;;
II 2012;4 731;4 851;6 358;6 119;5 351;5 071;7 083;5 134;4 948;4 788;4 832;6 058;4 565;4 973;8 123;6 467;3 734;6 966;4 903;6 348;4 886;;II 2012;4 384;4 686;5 604;6 604;4 443;4 944;6 616;4 906;4 668;4 452;4 557;5 880;4 135;4 762;7 043;5 808;3 602;6 299;4 574;5 884;4 539;;;;;;
III 2012;5 011;4 859;6 475;6 279;5 411;5 219;6 893;5 111;4 969;4 840;4 829;6 161;4 507;4 982;7 875;6 267;3 744;6 846;4 962;6 303;4 962;;III 2012;4 507;4 502;5 555;6 439;5 004;5 161;6 711;4 864;4 473;4 480;4 428;5 978;4 496;4 759;6 757;5 521;3 673;6 104;4 679;5 739;4 636;;;;;;
IV 2012;4 951;4 787;6 514;6 186;5 318;5 110;6 773;5 043;4 646;4 570;4 829;6 131;4 555;4 986;7 695;6 069;3 653;6 679;4 889;6 123;4 873;;IV 2012;4 357;4 615;5 336;6 002;5 685;4 516;6 417;4 699;4 536;4 556;4 203;5 339;4 407;4 567;6 466;5 593;3 691;5 931;4 636;5 631;4 601;;;;;;
I 2013;4 965;4 934;6 453;6 063;5 526;5 061;6 362;5 126;4 898;4 598;4 821;6 382;4 463;4 836;8 076;6 031;3 634;6 783;4 877;6 002;4 933;;I 2013;4 610;4 855;5 292;5 732;5 104;4 647;5 926;4 679;4 629;4 395;4 428;6 147;4 467;4 547;6 990;5 430;3 655;6 031;4 604;5 482;4 665;;;;;;
II 2013;4 936;5 131;6 403;6 582;5 817;5 075;6 266;5 014;4 811;4 647;4 809;6 334;5 141;4 774;8 081;5 970;3 613;6 824;5 000;6 097;5 044;;II 2013;4 428;4 815;5 682;6 083;5 232;4 646;6 299;4 943;4 531;4 478;4 526;5 998;4 383;4 581;7 018;5 603;3 623;6 166;4 649;5 682;4 671;;;;;;
III 2013;4 949;5 185;6 398;6 824;5 898;4 884;6 071;5 140;4 780;4 856;4 674;6 342;5 148;4 828;8 146;5 997;3 613;6 737;5 039;5 920;5 075;;III 2013;4 526;4 896;5 794;6 646;4 670;4 718;5 895;4 770;4 388;4 560;4 617;5 913;4 680;4 444;7 173;5 605;3 606;6 227;4 608;5 679;4 632;;;;;;
IV 2013;4 938;5 279;6 568;6 314;5 456;4 882;6 122;5 017;4 768;4 867;4 426;6 417;5 102;4 896;8 088;5 928;3 674;6 745;4 981;5 928;4 992;;IV 2013;4 493;4 528;6 155;6 003;4 529;4 651;5 782;4 796;4 423;4 511;4 638;5 868;4 821;4 742;7 427;5 693;3 625;6 314;4 588;5 664;4 562;;;;;;
I 2014;4 856;5 040;6 090;6 944;5 531;4 852;6 472;5 009;4 808;4 862;4 458;6 670;5 123;4 879;8 005;6 016;3 693;6 745;4 941;6 047;4 956;;I 2014;4 501;4 601;5 501;6 072;4 532;4 587;6 000;4 643;4 433;4 493;4 370;6 146;4 515;4 732;7 298;5 668;3 620;6 196;4 546;5 599;4 503;;;;;;
II 2014;4 840;4 951;6 232;6 341;5 602;4 878;6 434;4 924;4 936;4 937;4 564;6 560;5 027;4 844;7 924;6 092;3 784;6 696;4 969;6 013;4 989;;II 2014;4 488;4 808;5 977;5 648;4 974;4 623;6 172;4 917;4 533;4 461;4 390;6 116;4 828;4 699;7 316;5 860;3 688;6 252;4 682;5 685;4 676;;;;;;
III 2014;4 885;5 100;6 074;6 328;5 397;4 767;6 214;4 922;4 932;4 929;4 731;6 552;5 040;4 876;7 819;6 050;3 769;6 648;4 933;5 996;;;III 2014;4 431;4 797;5 805;6 037;5 015;4 578;5 970;4 843;4 661;4 690;4 609;6 022;4 649;4 745;7 446;5 921;3 736;6 317;4 686;5 700;;;;;;;
